FinanceKey,OrganizationKey,DepartmentKey,ScenarioKey,AccountKey,Amount,Date
1,3,1,Actual,60,22080,1 Jan 2028
2,3,1,Budget,60,20200,1 Jan 2028
3,3,1,Budget,61,2000,1 Jan 2028
4,3,1,Actual,61,2208,1 Jan 2028
5,3,1,Actual,62,1546,1 Jan 2028
6,3,1,Budget,62,1800,1 Jan 2028
7,3,1,Budget,65,380,1 Jan 2028
8,3,1,Actual,65,378,1 Jan 2028
9,3,1,Actual,66,344,1 Jan 2028
10,3,1,Budget,66,380,1 Jan 2028
11,3,1,Budget,67,200,1 Jan 2028
12,3,1,Actual,67,174,1 Jan 2028
13,3,1,Actual,68,132,1 Jan 2028
14,3,1,Budget,68,100,1 Jan 2028
15,3,1,Actual,69,38,1 Jan 2028
16,3,1,Actual,71,54,1 Jan 2028
17,3,1,Budget,71,70,1 Jan 2028
18,3,1,Budget,73,300,1 Jan 2028
19,3,1,Actual,73,250,1 Jan 2028
20,3,1,Actual,74,114,1 Jan 2028
21,3,1,Budget,74,100,1 Jan 2028
22,3,1,Budget,76,280,1 Jan 2028
23,3,1,Actual,76,297,1 Jan 2028
24,3,1,Actual,77,535,1 Jan 2028
25,3,1,Budget,77,480,1 Jan 2028
26,3,1,Budget,78,200,1 Jan 2028
27,3,1,Actual,78,153,1 Jan 2028
28,3,1,Actual,80,586,1 Jan 2028
29,3,1,Budget,80,550,1 Jan 2028
30,3,1,Budget,81,380,1 Jan 2028
31,3,1,Actual,81,363,1 Jan 2028
32,3,1,Actual,82,35,1 Jan 2028
33,3,1,Budget,82,40,1 Jan 2028
34,3,1,Budget,83,100,1 Jan 2028
35,3,1,Actual,83,123,1 Jan 2028
36,3,1,Actual,84,103,1 Jan 2028
37,3,1,Budget,84,100,1 Jan 2028
38,3,1,Budget,85,100,1 Jan 2028
39,3,1,Actual,85,98,1 Jan 2028
40,3,1,Actual,87,540,1 Jan 2028
41,3,1,Budget,87,480,1 Jan 2028
42,3,1,Actual,89,201,1 Jan 2028
43,3,1,Actual,90,309,1 Jan 2028
44,3,1,Actual,91,-247,1 Jan 2028
45,3,1,Actual,92,412,1 Jan 2028
46,3,1,Actual,94,214,1 Jan 2028
